episode,waiting_time,execution_time,n_qtasks_on_qnode,reward,reschedule_count
15,691.5356615497915,922.3205232842345,"{'qnode_id_0': 7, 'qnode_id_1': 6, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-78.45131444118616,19
16,2192.916788505748,1241.1518007339828,"{'qnode_id_0': 7, 'qnode_id_1': 8, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-115.28575085125293,27
17,5734.381495652385,1605.9803544054666,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 9}",-186.74653357717082,53
18,2103.424713262647,1113.88082841551,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 5, 'qnode_id_3': 5, 'qnode_id_4': 5}",-22.021425877375112,6
19,1600.3433328236706,983.1407939005713,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 6}",-62.97988413149208,19
20,3580.9468895647597,1311.6843759099622,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-107.93221276146575,25
21,2085.9602649308117,839.511021937172,"{'qnode_id_0': 8, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 8}",-128.42336419106664,37
22,1951.2023656820356,823.6317007737867,"{'qnode_id_0': 6, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 6}",-88.73563648035291,22
23,2129.889365803875,952.4685190646511,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-86.65129686876423,23
24,3405.59765418421,1111.9525234414502,"{'qnode_id_0': 7, 'qnode_id_1': 6, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-91.56981554233597,23
25,3491.5987287167354,1077.2747030726546,"{'qnode_id_0': 8, 'qnode_id_1': 9, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 8}",-187.6014701904169,50
